<block:absentbydesign:fence_log_acacia>, Acacia Log Fence
<block:quark:icy_stone_stairs>, tile.icy_stone_stairs.name
<block:quark:icy_stone_wall>, tile.icy_stone_wall.name
<block:quark:iron_button>, tile.iron_button.name
<block:quark:iron_ladder>, tile.iron_ladder.name
<block:quark:iron_plate>, tile.iron_plate.name
<block:quark:iron_plate_slab>, tile.iron_plate_slab.name
<block:quark:iron_plate_slab_double>, tile.iron_plate_slab_double.name
<block:quark:iron_plate_stairs>, tile.iron_plate_stairs.name
<block:quark:iron_rod>, tile.iron_rod.name
<block:quark:jasper>, tile.jasper.name
<block:quark:jasper_speleothem>, tile.jasper_speleothem.name
<block:quark:jasper_wall>, tile.jasper_wall.name
<block:quark:jungle_button>, tile.jungle_button.name
<block:quark:jungle_pressure_plate>, tile.jungle_pressure_plate.name
<block:quark:jungle_trapdoor>, tile.jungle_trapdoor.name
<block:quark:leaf_carpet>, tile.leaf_carpet.name
<block:quark:limestone>, tile.limestone.name
<block:quark:limestone_speleothem>, tile.limestone_speleothem.name
<block:quark:limestone_wall>, tile.limestone_wall.name
<block:quark:lit_lamp>, tile.lit_lamp.name
<block:quark:magma_bricks>, tile.magma_bricks.name
<block:quark:magma_bricks_slab>, tile.magma_bricks_slab.name
<block:quark:magma_bricks_slab_double>, tile.magma_bricks_slab_double.name
<block:quark:magma_bricks_stairs>, tile.magma_bricks_stairs.name
<block:quark:marble>, tile.marble.name
<block:quark:marble_speleothem>, tile.marble_speleothem.name
<block:quark:marble_wall>, tile.marble_wall.name
<block:quark:midori_block>, tile.midori_block.name
<block:quark:midori_block_slab>, tile.midori_block_slab.name
<block:quark:midori_block_slab_double>, tile.midori_block_slab_double.name
<block:quark:midori_block_stairs>, tile.midori_block_stairs.name
<block:quark:midori_block_wall>, tile.midori_block_wall.name
<block:quark:midori_pillar>, tile.midori_pillar.name
<block:quark:monster_box>, tile.monster_box.name
<block:quark:nether_brick_fence_gate>, tile.nether_brick_fence_gate.name
<block:quark:netherrack_speleothem>, tile.netherrack_speleothem.name
<block:quark:obsidian_pressure_plate>, tile.obsidian_pressure_plate.name
<block:quark:paper_lantern>, tile.paper_lantern.name
<block:quark:paper_wall>, tile.paper_wall.name
<block:quark:paper_wall_big>, tile.paper_wall_big.name
<block:quark:paper_wall_sakura>, tile.paper_wall_sakura.name
<block:quark:polished_netherrack>, tile.polished_netherrack.name
<block:quark:polished_netherrack_bricks_slab>, tile.polished_netherrack_bricks_slab.name
<block:quark:polished_netherrack_bricks_slab_double>, tile.polished_netherrack_bricks_slab_double.name
<block:quark:polished_netherrack_bricks_stairs>, tile.polished_netherrack_bricks_stairs.name
<block:quark:polished_netherrack_bricks_wall>, tile.polished_netherrack_bricks_wall.name
<block:quark:polished_stone>, tile.polished_stone.name
<block:quark:prismarine_bricks_slab>, tile.prismarine_bricks_slab.name
<block:quark:prismarine_bricks_slab_double>, tile.prismarine_bricks_slab_double.name
<block:quark:prismarine_bricks_stairs>, tile.prismarine_bricks_stairs.name
<block:quark:prismarine_bricks_wall>, tile.prismarine_bricks_wall.name
<block:quark:prismarine_dark_slab>, tile.prismarine_dark_slab.name
<block:quark:prismarine_dark_slab_double>, tile.prismarine_dark_slab_double.name
<block:quark:prismarine_dark_stairs>, tile.prismarine_dark_stairs.name
<block:quark:prismarine_rough_wall>, tile.prismarine_rough_wall.name
<block:quark:prismarine_slab>, tile.prismarine_slab.name
<block:quark:prismarine_slab_double>, tile.prismarine_slab_double.name
<block:quark:prismarine_stairs>, tile.prismarine_stairs.name
<block:quark:purpur_block_wall>, tile.purpur_block_wall.name
<block:quark:quartz_wall>, tile.quartz_wall.name
<block:quark:quilted_wool>, tile.quilted_wool.name
<block:quark:rain_detector>, tile.rain_detector.name
<block:quark:red_nether_brick_slab>, tile.red_nether_brick_slab.name
<block:quark:red_nether_brick_slab_double>, tile.red_nether_brick_slab_double.name
<block:quark:red_nether_brick_stairs>, Red Nether Brick Stairs
<block:quark:red_sandstone_bricks_slab>, tile.red_sandstone_bricks_slab.name
<block:quark:red_sandstone_bricks_slab_double>, tile.red_sandstone_bricks_slab_double.name
<block:quark:red_sandstone_bricks_stairs>, tile.red_sandstone_bricks_stairs.name
<block:quark:red_sandstone_smooth_slab>, tile.red_sandstone_smooth_slab.name
<block:quark:red_sandstone_smooth_slab_double>, tile.red_sandstone_smooth_slab_double.name
<block:quark:red_sandstone_wall>, tile.red_sandstone_wall.name
<block:quark:redstone_inductor>, tile.redstone_inductor.name
<block:quark:redstone_randomizer>, tile.redstone_randomizer.name
<block:quark:reed_block>, tile.reed_block.name
<block:quark:reed_block_slab>, tile.reed_block_slab.name
<block:quark:reed_block_slab_double>, tile.reed_block_slab_double.name
<block:quark:reed_block_stairs>, tile.reed_block_stairs.name
<block:quark:reed_block_wall>, tile.reed_block_wall.name
<block:quark:roots>, tile.roots.name
<block:quark:roots_black_flower>, tile.roots_black_flower.name
<block:quark:roots_blue_flower>, tile.roots_blue_flower.name
<block:quark:roots_white_flower>, tile.roots_white_flower.name
<block:quark:rope>, tile.rope.name
<block:quark:sandstone_bricks_slab>, tile.sandstone_bricks_slab.name
<block:quark:sandstone_bricks_slab_double>, tile.sandstone_bricks_slab_double.name
<block:quark:sandstone_bricks_stairs>, tile.sandstone_bricks_stairs.name
<block:quark:sandstone_new>, tile.sandstone_new.name
<block:quark:sandstone_smooth_slab>, tile.sandstone_smooth_slab.name
<block:quark:sandstone_smooth_slab_double>, tile.sandstone_smooth_slab_double.name
<block:quark:sandstone_wall>, tile.sandstone_wall.name
<block:quark:sandy_bricks>, tile.sandy_bricks.name
<block:quark:sandy_bricks_slab>, tile.sandy_bricks_slab.name
<block:quark:sandy_bricks_slab_double>, tile.sandy_bricks_slab_double.name
<block:quark:sandy_bricks_stairs>, tile.sandy_bricks_stairs.name
<block:quark:sandy_bricks_wall>, tile.sandy_bricks_wall.name
<block:quark:slate>, tile.slate.name
<block:quark:slate_speleothem>, tile.slate_speleothem.name
<block:quark:slate_wall>, tile.slate_wall.name
<block:quark:smoker>, Smoker
<block:quark:snow_bricks>, tile.snow_bricks.name
<block:quark:snow_bricks_slab>, tile.snow_bricks_slab.name
<block:quark:snow_bricks_slab_double>, tile.snow_bricks_slab_double.name
<block:quark:snow_bricks_stairs>, tile.snow_bricks_stairs.name
<block:quark:snow_bricks_wall>, tile.snow_bricks_wall.name
<block:quark:soul_sandstone>, tile.soul_sandstone.name
<block:quark:soul_sandstone_bricks_slab>, tile.soul_sandstone_bricks_slab.name
<block:quark:soul_sandstone_bricks_slab_double>, tile.soul_sandstone_bricks_slab_double.name
<block:quark:soul_sandstone_bricks_stairs>, tile.soul_sandstone_bricks_stairs.name
<block:quark:soul_sandstone_slab>, tile.soul_sandstone_slab.name
<block:quark:soul_sandstone_slab_double>, tile.soul_sandstone_slab_double.name
<block:quark:soul_sandstone_smooth_slab>, tile.soul_sandstone_smooth_slab.name
<block:quark:soul_sandstone_smooth_slab_double>, tile.soul_sandstone_smooth_slab_double.name
<block:quark:soul_sandstone_stairs>, tile.soul_sandstone_stairs.name
<block:quark:soul_sandstone_wall>, tile.soul_sandstone_wall.name
<block:quark:spruce_button>, tile.spruce_button.name
<block:quark:spruce_pressure_plate>, tile.spruce_pressure_plate.name
<block:quark:spruce_trapdoor>, tile.spruce_trapdoor.name
<block:quark:stained_clay_tiles>, tile.stained_clay_tiles.name
<block:quark:stained_clay_tiles_black_slab>, tile.stained_clay_tiles_black_slab.name
<block:quark:stained_clay_tiles_black_slab_double>, tile.stained_clay_tiles_black_slab_double.name
<block:quark:stained_clay_tiles_black_stairs>, tile.stained_clay_tiles_black_stairs.name
<block:quark:stained_clay_tiles_blue_slab>, tile.stained_clay_tiles_blue_slab.name
<block:quark:stained_clay_tiles_blue_slab_double>, tile.stained_clay_tiles_blue_slab_double.name
<block:quark:stained_clay_tiles_blue_stairs>, tile.stained_clay_tiles_blue_stairs.name
<block:quark:stained_clay_tiles_brown_slab>, tile.stained_clay_tiles_brown_slab.name
<block:quark:stained_clay_tiles_brown_slab_double>, tile.stained_clay_tiles_brown_slab_double.name
<block:quark:stained_clay_tiles_brown_stairs>, tile.stained_clay_tiles_brown_stairs.name
<block:quark:stained_clay_tiles_cyan_slab>, tile.stained_clay_tiles_cyan_slab.name
<block:quark:stained_clay_tiles_cyan_slab_double>, tile.stained_clay_tiles_cyan_slab_double.name
<block:quark:stained_clay_tiles_cyan_stairs>, tile.stained_clay_tiles_cyan_stairs.name
<block:quark:stained_clay_tiles_gray_slab>, tile.stained_clay_tiles_gray_slab.name
<block:quark:stained_clay_tiles_gray_slab_double>, tile.stained_clay_tiles_gray_slab_double.name
<block:quark:stained_clay_tiles_gray_stairs>, tile.stained_clay_tiles_gray_stairs.name
<block:quark:stained_clay_tiles_green_slab>, tile.stained_clay_tiles_green_slab.name
<block:quark:stained_clay_tiles_green_slab_double>, tile.stained_clay_tiles_green_slab_double.name
<block:quark:stained_clay_tiles_green_stairs>, tile.stained_clay_tiles_green_stairs.name
<block:quark:stained_clay_tiles_light_blue_slab>, tile.stained_clay_tiles_light_blue_slab.name
<block:quark:stained_clay_tiles_light_blue_slab_double>, tile.stained_clay_tiles_light_blue_slab_double.name
<block:quark:stained_clay_tiles_light_blue_stairs>, tile.stained_clay_tiles_light_blue_stairs.name
<block:quark:stained_clay_tiles_lime_slab>, tile.stained_clay_tiles_lime_slab.name
<block:quark:stained_clay_tiles_lime_slab_double>, tile.stained_clay_tiles_lime_slab_double.name
<block:quark:stained_clay_tiles_lime_stairs>, tile.stained_clay_tiles_lime_stairs.name
<block:quark:stained_clay_tiles_magenta_slab>, tile.stained_clay_tiles_magenta_slab.name
<block:quark:stained_clay_tiles_magenta_slab_double>, tile.stained_clay_tiles_magenta_slab_double.name
<block:quark:stained_clay_tiles_magenta_stairs>, tile.stained_clay_tiles_magenta_stairs.name
<block:quark:stained_clay_tiles_orange_slab>, tile.stained_clay_tiles_orange_slab.name
<block:quark:stained_clay_tiles_orange_slab_double>, tile.stained_clay_tiles_orange_slab_double.name
<block:quark:stained_clay_tiles_orange_stairs>, tile.stained_clay_tiles_orange_stairs.name
<block:quark:stained_clay_tiles_pink_slab>, tile.stained_clay_tiles_pink_slab.name
<block:quark:stained_clay_tiles_pink_slab_double>, tile.stained_clay_tiles_pink_slab_double.name
<block:quark:stained_clay_tiles_pink_stairs>, tile.stained_clay_tiles_pink_stairs.name
<block:quark:stained_clay_tiles_purple_slab>, tile.stained_clay_tiles_purple_slab.name
<block:quark:stained_clay_tiles_purple_slab_double>, tile.stained_clay_tiles_purple_slab_double.name
<block:quark:stained_clay_tiles_purple_stairs>, tile.stained_clay_tiles_purple_stairs.name
<block:quark:stained_clay_tiles_red_slab>, tile.stained_clay_tiles_red_slab.name
<block:quark:stained_clay_tiles_red_slab_double>, tile.stained_clay_tiles_red_slab_double.name
<block:quark:stained_clay_tiles_red_stairs>, tile.stained_clay_tiles_red_stairs.name
<block:quark:stained_clay_tiles_silver_slab>, tile.stained_clay_tiles_silver_slab.name
<block:quark:stained_clay_tiles_silver_slab_double>, tile.stained_clay_tiles_silver_slab_double.name
<block:quark:stained_clay_tiles_silver_stairs>, tile.stained_clay_tiles_silver_stairs.name
<block:quark:stained_clay_tiles_white_slab>, tile.stained_clay_tiles_white_slab.name
<block:quark:stained_clay_tiles_white_slab_double>, tile.stained_clay_tiles_white_slab_double.name
<block:quark:stained_clay_tiles_white_stairs>, tile.stained_clay_tiles_white_stairs.name
<block:quark:stained_clay_tiles_yellow_slab>, tile.stained_clay_tiles_yellow_slab.name
<block:quark:stained_clay_tiles_yellow_slab_double>, tile.stained_clay_tiles_yellow_slab_double.name
<block:quark:stained_clay_tiles_yellow_stairs>, tile.stained_clay_tiles_yellow_stairs.name
<block:quark:stained_planks>, tile.stained_planks.name
<block:quark:stained_planks_black_slab>, tile.stained_planks_black_slab.name
<block:quark:stained_planks_black_slab_double>, tile.stained_planks_black_slab_double.name
<block:quark:stained_planks_black_stairs>, tile.stained_planks_black_stairs.name
<block:quark:stained_planks_blue_slab>, tile.stained_planks_blue_slab.name
<block:quark:stained_planks_blue_slab_double>, tile.stained_planks_blue_slab_double.name
<block:quark:stained_planks_blue_stairs>, tile.stained_planks_blue_stairs.name
<block:quark:stained_planks_brown_slab>, tile.stained_planks_brown_slab.name
<block:quark:stained_planks_brown_slab_double>, tile.stained_planks_brown_slab_double.name
<block:quark:stained_planks_brown_stairs>, tile.stained_planks_brown_stairs.name
<block:quark:stained_planks_cyan_slab>, tile.stained_planks_cyan_slab.name
<block:quark:stained_planks_cyan_slab_double>, tile.stained_planks_cyan_slab_double.name
<block:quark:stained_planks_cyan_stairs>, tile.stained_planks_cyan_stairs.name
<block:quark:stained_planks_gray_slab>, tile.stained_planks_gray_slab.name
<block:quark:stained_planks_gray_slab_double>, tile.stained_planks_gray_slab_double.name
<block:quark:stained_planks_gray_stairs>, tile.stained_planks_gray_stairs.name
<block:quark:stained_planks_green_slab>, tile.stained_planks_green_slab.name
<block:quark:stained_planks_green_slab_double>, tile.stained_planks_green_slab_double.name
<block:quark:stained_planks_green_stairs>, tile.stained_planks_green_stairs.name
<block:quark:stained_planks_light_blue_slab>, tile.stained_planks_light_blue_slab.name
<block:quark:stained_planks_light_blue_slab_double>, tile.stained_planks_light_blue_slab_double.name
<block:quark:stained_planks_light_blue_stairs>, tile.stained_planks_light_blue_stairs.name
<block:quark:stained_planks_lime_slab>, tile.stained_planks_lime_slab.name
<block:quark:stained_planks_lime_slab_double>, tile.stained_planks_lime_slab_double.name
<block:quark:stained_planks_lime_stairs>, tile.stained_planks_lime_stairs.name
<block:quark:stained_planks_magenta_slab>, tile.stained_planks_magenta_slab.name
<block:quark:stained_planks_magenta_slab_double>, tile.stained_planks_magenta_slab_double.name
<block:quark:stained_planks_magenta_stairs>, tile.stained_planks_magenta_stairs.name
<block:quark:stained_planks_orange_slab>, tile.stained_planks_orange_slab.name
<block:quark:stained_planks_orange_slab_double>, tile.stained_planks_orange_slab_double.name
<block:quark:stained_planks_orange_stairs>, tile.stained_planks_orange_stairs.name
<block:quark:stained_planks_pink_slab>, tile.stained_planks_pink_slab.name
<block:quark:stained_planks_pink_slab_double>, tile.stained_planks_pink_slab_double.name
<block:quark:stained_planks_pink_stairs>, tile.stained_planks_pink_stairs.name
<block:quark:stained_planks_purple_slab>, tile.stained_planks_purple_slab.name
<block:quark:stained_planks_purple_slab_double>, tile.stained_planks_purple_slab_double.name
<block:quark:stained_planks_purple_stairs>, tile.stained_planks_purple_stairs.name
<block:quark:stained_planks_red_slab>, tile.stained_planks_red_slab.name
<block:quark:stained_planks_red_slab_double>, tile.stained_planks_red_slab_double.name
<block:quark:stained_planks_red_stairs>, tile.stained_planks_red_stairs.name
<block:quark:stained_planks_silver_slab>, tile.stained_planks_silver_slab.name
<block:quark:stained_planks_silver_slab_double>, tile.stained_planks_silver_slab_double.name
<block:quark:stained_planks_silver_stairs>, tile.stained_planks_silver_stairs.name
<block:quark:stained_planks_white_slab>, tile.stained_planks_white_slab.name
<block:quark:stained_planks_white_slab_double>, tile.stained_planks_white_slab_double.name
<block:quark:stained_planks_white_stairs>, tile.stained_planks_white_stairs.name
<block:quark:stained_planks_yellow_slab>, tile.stained_planks_yellow_slab.name
<block:quark:stained_planks_yellow_slab_double>, tile.stained_planks_yellow_slab_double.name
<block:quark:stained_planks_yellow_stairs>, tile.stained_planks_yellow_stairs.name
<block:quark:stone_andesite_bricks_slab>, tile.stone_andesite_bricks_slab.name
<block:quark:stone_andesite_bricks_slab_double>, tile.stone_andesite_bricks_slab_double.name
<block:quark:stone_andesite_bricks_stairs>, tile.stone_andesite_bricks_stairs.name
<block:quark:stone_andesite_bricks_wall>, tile.stone_andesite_bricks_wall.name
<block:quark:stone_andesite_slab>, tile.stone_andesite_slab.name
<block:quark:stone_andesite_slab_double>, tile.stone_andesite_slab_double.name
<block:quark:stone_andesite_stairs>, tile.stone_andesite_stairs.name
<block:quark:stone_andesite_wall>, tile.stone_andesite_wall.name
<block:quark:stone_basalt_bricks_slab>, tile.stone_basalt_bricks_slab.name
<block:quark:stone_basalt_bricks_slab_double>, tile.stone_basalt_bricks_slab_double.name
<block:quark:stone_basalt_bricks_stairs>, tile.stone_basalt_bricks_stairs.name
<block:quark:stone_basalt_bricks_wall>, tile.stone_basalt_bricks_wall.name
<block:quark:stone_basalt_slab>, tile.stone_basalt_slab.name
<block:quark:stone_basalt_slab_double>, tile.stone_basalt_slab_double.name
<block:quark:stone_basalt_stairs>, tile.stone_basalt_stairs.name
<block:quark:stone_diorite_bricks_slab>, tile.stone_diorite_bricks_slab.name
<block:quark:stone_diorite_bricks_slab_double>, tile.stone_diorite_bricks_slab_double.name
<block:quark:stone_diorite_bricks_stairs>, tile.stone_diorite_bricks_stairs.name
<block:quark:stone_diorite_bricks_wall>, tile.stone_diorite_bricks_wall.name
<block:quark:stone_diorite_slab>, tile.stone_diorite_slab.name
<block:quark:stone_diorite_slab_double>, tile.stone_diorite_slab_double.name
